dbh_measured_10,dbh_05_10,dbh_1_10,dbh_15_10,dbh_2_10,dbh_25_10,dbh_3_10,dbh_measured,dbh_05_20,dbh_1_20,dbh_15_20,dbh_2_20,dbh_25_20,dbh_3_20,dbh_measured_30,dbh_05_30,dbh_1_30,dbh_15_30,dbh_2_30,dbh_25_30,dbh_3_30
0.239369034410211,0.3773214,0.3913968,0.2625702,0.2494554,0.2293818,0.2776218,0.465369053600702,0.3773214,0.3913968,0.2625702,0.2494554,0.2293818,0.2776218,0.332315521175877,0.3773214,0.3913968,0.2625702,0.2494554,0.2293818,0.2776218
0.209447905108934,0.375637,0.3872882,0.5705902,0.2475736,0.26661578,0.2972222,0.465369053600702,0.375637,0.3872882,0.5705902,0.2475736,0.26661578,0.2972222,0.338045099127186,0.2678382,0.2507464,0.2469744,0.255201,0.2175264,0.2129862
0.253374669402297,0.17219934,0.1779348,0.16441596,0.13138828,0.11875144,0.0847139,0.177616916490555,0.17219934,0.1779348,0.16441596,0.13138828,0.11875144,0.0847139,0.412529612494193,0.3159618,0.2846834,0.2746038,0.2525808,0.257079,0.2483244
0.253374669402297,0.1716541,0.16189204,0.16286612,0.14617246,0.14568298,0.13832432,0.200535228295788,0.2678382,0.2507464,0.2469744,0.255201,0.2175264,0.2129862,0.351414114346905,0.2378378,0.2305262,0.2274672,0.15052244,0.12640006,0.13830266
0.405526794998149,0.3001852,0.2828224,0.30232,0.2669462,0.3265532,0.4402292,0.270563403256222,0.19515286,0.210574,0.18033482,0.18421096,0.16479238,0.15314748,0.353960593436375,0.2133262,0.2113236,0.2023454,0.1925934,0.17807854,0.2132396
0.242552133272048,0.19886608,0.18282432,0.2497452,0.16908226,0.18847482,0.15636528,0.311307068687747,0.19886608,0.18282432,0.2497452,0.16908226,0.18847482,0.15636528,0.416985950900766,0.2458932,0.2391618,0.19864942,0.2085192,0.19883092,0.2446176
0.267380304394384,0.3159618,0.2846834,0.2746038,0.2525808,0.257079,0.2483244,0.279476080069368,0.2254346,0.2168736,0.205604,0.19344672,0.18764844,0.1826588,0.219633821466816,0.1858199,0.18049712,0.17582134,0.17572566,0.17512034,0.17405284
0.201171848068156,0.2099426,0.2032848,0.19899214,0.2012668,0.18498234,0.15998524,0.237459175093108,0.4061426,0.3874638,0.3633864,0.3519454,0.3626738,0.3528548,0.206264806247096,0.2953768,0.2729502,0.260351,0.2344382,0.2194266,0.19244088
0.204991566702361,0.2254346,0.2168736,0.205604,0.19344672,0.18764844,0.1826588,0.354597213208743,0.2690636,0.2162228,0.19508978,0.19508978,0.1892887,0.2071886,0.210084524881302,0.42513,0.3899554,0.3785486,0.3724566,0.3443848,0.309325
0.320219745500893,0.2008462,0.19873356,0.2448878,0.19338802,0.1769464,0.18207156,0.205628186474729,0.2675356,0.2122422,0.1915003,0.19531822,0.19490598,0.2074508,0.502293000398022,0.17731314,0.1704798,0.16428156,0.16503708,0.17038514,0.12783094
0.252101429857562,0.2333944,0.227526,0.2306816,0.170938,0.15235854,0.17006068,0.239369034410211,0.2003854,0.15021396,0.14250118,0.16945494,0.19066158,0.24601,,,,,,,
0.308760589598277,0.4061426,0.3874638,0.3633864,0.3519454,0.3626738,0.3528548,0.209447905108934,0.2416148,0.2264424,0.1958355,0.17433754,0.16034308,0.16899524,,,,,,,
0.316400026866688,0.2133262,0.2113236,0.2023454,0.1925934,0.17807854,0.2132396,0.253374669402297,0.4337102,0.3988042,0.3811986,0.3928668,0.3872368,0.38455,,,,,,,
0.401707076363944,0.2690636,0.2162228,0.19508978,0.19508978,0.1892887,0.2071886,0.253374669402297,0.3458714,0.313315,0.2991972,0.2887332,0.2867468,0.2684266,,,,,,,
0.221543680783918,0.2003854,0.15021396,0.14250118,0.16945494,0.19066158,0.24601,0.405526794998149,0.1836794,0.15875526,0.16990186,0.18702134,0.15902884,0.1547542,,,,,,,
0.427808487031015,0.2814022,0.2837912,0.306506,0.2499086,0.260956,0.3809838,0.242552133272048,0.2163248,0.2035528,0.19750216,0.19891962,0.17846586,0.14922736,,,,,,,
0.354597213208743,0.2416148,0.2264424,0.1958355,0.17433754,0.16034308,0.16899524,0.267380304394384,0.3605666,0.3425734,0.29332,0.2611556,0.2421356,0.2218252,,,,,,,
0.23427607623127,0.2458932,0.2391618,0.19864942,0.2085192,0.19883092,0.2446176,0.201171848068156,0.346112,0.3278854,0.310084,0.3126542,0.2818752,0.2803298,,,,,,,
0.326585943224569,0.4337102,0.3988042,0.3811986,0.3928668,0.3872368,0.38455,0.204991566702361,0.3121734,0.2629818,0.2660604,0.2663634,0.266574,0.2365498,,,,,,,
0.209447905108934,0.1858199,0.18049712,0.17582134,0.17572566,0.17512034,0.17405284,0.320219745500893,0.2927744,0.2722076,0.2576836,0.2432902,0.243081,0.2249378,,,,,,,
0.285842277793044,0.3458714,0.313315,0.2991972,0.2887332,0.2867468,0.2684266,0.252101429857562,0.3875254,0.3311818,0.3181652,0.3232584,0.2723198,0.2414812,,,,,,,
0.369876087745565,0.1836794,0.15875526,0.16990186,0.18702134,0.15902884,0.1547542,0.308760589598277,0.2327768,0.2167488,0.2195696,0.2154054,0.2173582,0.2067842,,,,,,,
0.332315521175877,0.2163248,0.2035528,0.19750216,0.19891962,0.17846586,0.14922736,,,,,,,,,,,,,,
0.338045099127186,0.2953768,0.2729502,0.260351,0.2344382,0.2194266,0.19244088,,,,,,,,,,,,,,
0.412529612494193,0.3605666,0.3425734,0.29332,0.2611556,0.2421356,0.2218252,,,,,,,,,,,,,,
0.351414114346905,0.346112,0.3278854,0.310084,0.3126542,0.2818752,0.2803298,,,,,,,,,,,,,,
0.353960593436375,0.42513,0.3899554,0.3785486,0.3724566,0.3443848,0.309325,,,,,,,,,,,,,,
0.416985950900766,0.2927744,0.2722076,0.2576836,0.2432902,0.243081,0.2249378,,,,,,,,,,,,,,
0.219633821466816,0.3023236,0.2926752,0.2562842,0.23980004,0.2458018,0.2310256,,,,,,,,,,,,,,
0.206264806247096,0.19956824,0.18727096,0.196174,0.1851159,0.15249688,0.15223356,,,,,,,,,,,,,,
0.210084524881302,0.17731314,0.1704798,0.16428156,0.16503708,0.17038514,0.12783094,,,,,,,,,,,,,,
0.502293000398022,0.2327768,0.2167488,0.2195696,0.2154054,0.2173582,0.2067842,,,,,,,,,,,,,,