Number,lable,perimeter,sapwood_depth,bark,radius_05,radius_1,radius_15,radius_2,radius_25,radius_3,radius_13,dbh_measured,area_measured,bark_area,hardwood_area,sapwood_area,dbh_05,dbh_1,dbh_15,dbh_2,dbh_25,dbh_3,dbh_scan
3,2173,63,0.02346,0.00746,0.08582705,0.08094602,0.08143306,0.07308623,0.07284149,0.06916216,0.09099313,0.200535228295788,0.0315842984565866,0.00452496534227947,0.016476091653269,0.0105832414610381,0.1716541,0.16189204,0.16286612,0.14617246,0.14568298,0.13832432,0.18198626
6,2214,87.8,0.02791,0.00852,0.1500926,0.1414112,0.15116,0.1334731,0.1632766,0.2201146,0.1421926,0.279476080069368,0.0613449995752263,0.00725251053263885,0.0278161913319108,0.0262762977106766,0.3001852,0.2828224,0.30232,0.2669462,0.3265532,0.4402292,0.2843852
8,2204,111.4,0.02984,0.00655,0.1579809,0.1423417,0.1373019,0.1262904,0.1285395,0.1241622,0.1399718,0.354597213208743,0.0987553238786349,0.00716191782117936,0.0363782621629922,0.0552151438944633,0.3159618,0.2846834,0.2746038,0.2525808,0.257079,0.2483244,0.2799436
9,2207,64.6,0.02777,0.00847,0.1049713,0.1016424,0.09949607,0.1006334,0.09249117,0.07999262,0.09173403,0.205628186474729,0.0332089521156687,0.00524623931559809,0.0192850682441567,0.00867764455591386,0.2099426,0.2032848,0.19899214,0.2012668,0.18498234,0.15998524,0.18346806
11,NA,65.8,0.02822,0.00895,0.1004231,0.09936678,0.1224439,0.09669401,0.0884732,0.09103578,0.09339708,0.209447905108934,0.0344541803904197,0.00563745057446582,0.0201174076296257,0.00869932218632814,0.2008462,0.19873356,0.2448878,0.19338802,0.1769464,0.18207156,0.18679416
12,NA,79.6,0.02726,0.0053,0.1189189,0.1152631,0.1137336,0.07526122,0.06320003,0.06915133,0.112976,0.253374669402297,0.0504215592110572,0.00413055266236066,0.0225871892385632,0.0237038173101333,0.2378378,0.2305262,0.2274672,0.15052244,0.12640006,0.13830266,0.225952
12_2,NA,79.6,0.02726,0.0053,0.1166972,0.113763,0.1153408,0.085469,0.07617927,0.08503034,0.1124711,0.253374669402297,0.0504215592110572,0.00413055266236066,0.0225871892385632,0.0237038173101333,0.2333944,0.227526,0.2306816,0.170938,0.15235854,0.17006068,0.2249422
14,2215,76.2,0.02336,0.00569,0.1066631,0.1056618,0.1011727,0.0962967,0.08903927,0.1066198,0.1018233,0.242552133272048,0.0462061813883252,0.00423406748208811,0.0194849021056539,0.0224872118005832,0.2133262,0.2113236,0.2023454,0.1925934,0.17807854,0.2132396,0.2036466
18,2218,100.6,0.02637,0.00677,0.1407011,0.1418956,0.153253,0.1249543,0.130478,0.1904919,0.1411484,0.320219745500893,0.0805352659934747,0.00666663169806728,0.0298885557089055,0.0439800785865019,0.2814022,0.2837912,0.306506,0.2499086,0.260956,0.3809838,0.2822968
20,1411,97,0.02947,0.00673,0.1229466,0.1195809,0.09932471,0.1042596,0.09941546,0.1223088,0.1077837,0.308760589598277,0.0748744429775822,0.00638580815810025,0.0309971313230298,0.0374915034964521,0.2458932,0.2391618,0.19864942,0.2085192,0.19883092,0.2446176,0.2155674
21,1410,99.4,0.01696,0.00471,0.1338765,0.1330981,0.1298293,0.1169732,0.10763521,0.1052387,0.1317652,0.316400026866688,0.078625406676372,0.0046120465944135,0.0200647229615527,0.0539486371204058,0.267753,0.2661962,0.2596586,0.2339464,0.21527042,0.2104774,0.2635304
23,2397,69.6,0.01556,0.00488,0.09290995,0.09024856,0.08791067,0.08786283,0.08756017,0.08702642,0.08768912,0.221543680783918,0.0385486004564018,0.00332166485591035,0.0129137026955232,0.0223132329049683,0.1858199,0.18049712,0.17582134,0.17572566,0.17512034,0.17405284,0.17537824
24,2807,134.4,0.03083,0.0091,0.1575522,0.1518455,0.1476146,0.1335228,0.1261168,0.1316966,0.1483172,0.427808487031015,0.143743651642421,0.0119702447123562,0.0486569492793124,0.0831164576507523,0.3151044,0.303691,0.2952292,0.2670456,0.2522336,0.2633932,0.2966344
27,NA,102.6,0.03932,0.00603,0.18245,0.1531851,0.137972,0.1304602,0.11402,0.1144675,0.11408,0.326585943224569,0.083769294437102,0.00607254886368208,0.0400680298627925,0.0376287157106274,0.3649,0.3063702,0.275944,0.2609204,0.22804,0.228935,0.22816
29,5650,89.8,0.02029,0.00625,0.1476884,0.1364751,0.1301755,0.1172191,0.1097133,0.09622044,0.1333427,0.285842277793044,0.0641715913645384,0.00548978153696916,0.0216200713560427,0.0370617384715265,0.2953768,0.2729502,0.260351,0.2344382,0.2194266,0.19244088,0.2666854
33,104,129.6,0.02889,0.00803,0.212565,0.1949777,0.1892743,0.1862283,0.1721924,0.1546625,0.1944819,0.412529612494193,0.133659594448118,0.0102043072782632,0.0435660577795518,0.0798892293903034,0.42513,0.3899554,0.3785486,0.3724566,0.3443848,0.309325,0.3889638
35,125,111.2,0.02588,0.00792,0.1511618,0.1463376,0.1281421,0.11990002,0.1229009,0.1155128,0.1411444,0.353960593436375,0.0984010449753123,0.00860997920257386,0.0339965188888329,0.0557945468839056,0.3023236,0.2926752,0.2562842,0.23980004,0.2458018,0.2310256,0.2822888
37,82,69,0.01564,0.00761,0.09978412,0.09363548,0.098087,0.09255795,0.07624844,0.07611678,0.09884941,0.219633821466816,0.0378868342030257,0.00506896377208604,0.0143442728211939,0.0184735976097458,0.19956824,0.18727096,0.196174,0.1851159,0.15249688,0.15223356,0.19769882
38,84,64.8,0.01973,0.00684,0.08865657,0.0852399,0.08214078,0.08251854,0.08519257,0.06391547,0.07825987,0.206264806247096,0.0334148986120296,0.00428533870274621,0.0149995058564677,0.0141300540528157,0.17731314,0.1704798,0.16428156,0.16503708,0.17038514,0.12783094,0.15651974
40,1344,157.8,0.03801,0.01138,0.2652526,0.245756,0.242479,0.2447893,0.2424901,0.2399601,0.2436823,0.502293000398022,0.19815458865702,0.0175507899283525,0.0702739065312681,0.110329892197399,0.5305052,0.491512,0.484958,0.4895786,0.4849802,0.4799202,0.4873646